,Year,Race,Driver,Team,QualiPosition,GridPosition,TargetFinish,Points
166,2022,Azerbaijan_Grand_Prix,OCO,Alpine,13.0,13.0,10,1.0
167,2022,Azerbaijan_Grand_Prix,PER,Red Bull Racing,2.0,2.0,2,19.0
168,2022,Azerbaijan_Grand_Prix,RIC,McLaren,12.0,12.0,8,4.0
169,2022,Azerbaijan_Grand_Prix,RUS,Mercedes,5.0,5.0,3,15.0
170,2022,Azerbaijan_Grand_Prix,SAI,Ferrari,4.0,4.0,R,0.0
171,2022,Azerbaijan_Grand_Prix,STR,Aston Martin,19.0,19.0,16,0.0
172,2022,Azerbaijan_Grand_Prix,TSU,AlphaTauri,8.0,8.0,13,0.0
173,2022,Azerbaijan_Grand_Prix,VER,Red Bull Racing,3.0,3.0,1,25.0
174,2022,Azerbaijan_Grand_Prix,VET,Aston Martin,9.0,9.0,6,8.0
175,2022,Azerbaijan_Grand_Prix,ZHO,Alfa Romeo,14.0,14.0,R,0.0
176,2022,Canadian_Grand_Prix,ALB,Williams,12.0,12.0,13,0.0
177,2022,Canadian_Grand_Prix,ALO,Alpine,2.0,2.0,9,2.0
178,2022,Canadian_Grand_Prix,BOT,Alfa Romeo,11.0,11.0,7,6.0
179,2022,Canadian_Grand_Prix,DEV,,,,,
180,2022,Canadian_Grand_Prix,GAS,AlphaTauri,16.0,15.0,14,0.0
181,2022,Canadian_Grand_Prix,HAM,Mercedes,4.0,4.0,3,15.0
182,2022,Canadian_Grand_Prix,HUL,,,,,
183,2022,Canadian_Grand_Prix,LAT,Williams,19.0,18.0,16,0.0
184,2022,Canadian_Grand_Prix,LEC,Ferrari,15.0,19.0,5,10.0
185,2022,Canadian_Grand_Prix,MAG,Haas F1 Team,5.0,5.0,17,0.0
186,2022,Canadian_Grand_Prix,MSC,Haas F1 Team,6.0,6.0,R,0.0
187,2022,Canadian_Grand_Prix,NOR,McLaren,14.0,14.0,15,0.0
188,2022,Canadian_Grand_Prix,OCO,Alpine,7.0,7.0,6,8.0
189,2022,Canadian_Grand_Prix,PER,Red Bull Racing,13.0,13.0,R,0.0
190,2022,Canadian_Grand_Prix,RIC,McLaren,9.0,9.0,11,0.0
191,2022,Canadian_Grand_Prix,RUS,Mercedes,8.0,8.0,4,12.0
192,2022,Canadian_Grand_Prix,SAI,Ferrari,3.0,3.0,2,19.0
193,2022,Canadian_Grand_Prix,STR,Aston Martin,18.0,17.0,10,1.0
194,2022,Canadian_Grand_Prix,TSU,AlphaTauri,20.0,20.0,R,0.0
195,2022,Canadian_Grand_Prix,VER,Red Bull Racing,1.0,1.0,1,25.0
196,2022,Canadian_Grand_Prix,VET,Aston Martin,17.0,16.0,12,0.0
197,2022,Canadian_Grand_Prix,ZHO,Alfa Romeo,10.0,10.0,8,4.0
198,2022,British_Grand_Prix,ALB,Williams,16.0,16.0,R,0.0
199,2022,British_Grand_Prix,ALO,Alpine,7.0,7.0,5,10.0
200,2022,British_Grand_Prix,BOT,Alfa Romeo,12.0,12.0,R,0.0
201,2022,British_Grand_Prix,DEV,,,,,
202,2022,British_Grand_Prix,GAS,AlphaTauri,11.0,11.0,R,0.0
203,2022,British_Grand_Prix,HAM,Mercedes,5.0,5.0,3,16.0
204,2022,British_Grand_Prix,HUL,,,,,
205,2022,British_Grand_Prix,LAT,Williams,10.0,10.0,12,0.0
206,2022,British_Grand_Prix,LEC,Ferrari,3.0,3.0,4,12.0
207,2022,British_Grand_Prix,MAG,Haas F1 Team,17.0,17.0,10,1.0
208,2022,British_Grand_Prix,MSC,Haas F1 Team,19.0,19.0,8,4.0
209,2022,British_Grand_Prix,NOR,McLaren,6.0,6.0,6,8.0
210,2022,British_Grand_Prix,OCO,Alpine,15.0,15.0,R,0.0
211,2022,British_Grand_Prix,PER,Red Bull Racing,4.0,4.0,2,18.0
212,2022,British_Grand_Prix,RIC,McLaren,14.0,14.0,13,0.0
213,2022,British_Grand_Prix,RUS,Mercedes,8.0,8.0,R,0.0
214,2022,British_Grand_Prix,SAI,Ferrari,1.0,1.0,1,25.0
215,2022,British_Grand_Prix,STR,Aston Martin,20.0,20.0,11,0.0
216,2022,British_Grand_Prix,TSU,AlphaTauri,13.0,13.0,14,0.0
217,2022,British_Grand_Prix,VER,Red Bull Racing,2.0,2.0,7,6.0
218,2022,British_Grand_Prix,VET,Aston Martin,18.0,18.0,9,2.0
219,2022,British_Grand_Prix,ZHO,Alfa Romeo,9.0,9.0,R,0.0
220,2022,Austrian_Grand_Prix,ALB,Williams,11.0,15.0,12,0.0
221,2022,Austrian_Grand_Prix,ALO,Alpine,8.0,19.0,10,1.0
222,2022,Austrian_Grand_Prix,BOT,Alfa Romeo,12.0,0.0,11,0.0
223,2022,Austrian_Grand_Prix,DEV,,,,,
224,2022,Austrian_Grand_Prix,GAS,AlphaTauri,10.0,14.0,15,0.0
225,2022,Austrian_Grand_Prix,HAM,Mercedes,9.0,8.0,3,15.0
226,2022,Austrian_Grand_Prix,HUL,,,,,
227,2022,Austrian_Grand_Prix,LAT,Williams,19.0,17.0,R,0.0
228,2022,Austrian_Grand_Prix,LEC,Ferrari,2.0,2.0,1,25.0
229,2022,Austrian_Grand_Prix,MAG,Haas F1 Team,6.0,7.0,8,4.0
230,2022,Austrian_Grand_Prix,MSC,Haas F1 Team,7.0,9.0,6,8.0
231,2022,Austrian_Grand_Prix,NOR,McLaren,15.0,10.0,7,6.0
232,2022,Austrian_Grand_Prix,OCO,Alpine,5.0,6.0,5,10.0
233,2022,Austrian_Grand_Prix,PER,Red Bull Racing,13.0,5.0,R,0.0
234,2022,Austrian_Grand_Prix,RIC,McLaren,16.0,11.0,9,2.0
235,2022,Austrian_Grand_Prix,RUS,Mercedes,4.0,4.0,4,12.0
236,2022,Austrian_Grand_Prix,SAI,Ferrari,3.0,3.0,R,0.0
237,2022,Austrian_Grand_Prix,STR,Aston Martin,17.0,12.0,13,0.0
238,2022,Austrian_Grand_Prix,TSU,AlphaTauri,14.0,16.0,16,0.0
239,2022,Austrian_Grand_Prix,VER,Red Bull Racing,1.0,1.0,2,19.0
240,2022,Austrian_Grand_Prix,VET,Aston Martin,20.0,18.0,17,0.0
241,2022,Austrian_Grand_Prix,ZHO,Alfa Romeo,18.0,13.0,14,0.0
242,2022,French_Grand_Prix,ALB,Williams,15.0,13.0,13,0.0
243,2022,French_Grand_Prix,ALO,Alpine,7.0,7.0,6,8.0
244,2022,French_Grand_Prix,BOT,Alfa Romeo,13.0,11.0,14,0.0
245,2022,French_Grand_Prix,DEV,,,,,
246,2022,French_Grand_Prix,GAS,AlphaTauri,16.0,14.0,12,0.0
247,2022,French_Grand_Prix,HAM,Mercedes,4.0,4.0,2,18.0
248,2022,French_Grand_Prix,HUL,,,,,
249,2022,French_Grand_Prix,LAT,Williams,20.0,18.0,R,0.0
250,2022,French_Grand_Prix,LEC,Ferrari,1.0,1.0,R,0.0
251,2022,French_Grand_Prix,MAG,Haas F1 Team,10.0,20.0,R,0.0
252,2022,French_Grand_Prix,MSC,Haas F1 Team,19.0,17.0,15,0.0
253,2022,French_Grand_Prix,NOR,McLaren,5.0,5.0,7,6.0
254,2022,French_Grand_Prix,OCO,Alpine,12.0,10.0,8,4.0
255,2022,French_Grand_Prix,PER,Red Bull Racing,3.0,3.0,4,12.0
256,2022,French_Grand_Prix,RIC,McLaren,11.0,9.0,9,2.0
257,2022,French_Grand_Prix,RUS,Mercedes,6.0,6.0,3,15.0
258,2022,French_Grand_Prix,SAI,Ferrari,9.0,19.0,5,11.0
259,2022,French_Grand_Prix,STR,Aston Martin,17.0,15.0,10,1.0
260,2022,French_Grand_Prix,TSU,AlphaTauri,8.0,8.0,R,0.0
261,2022,French_Grand_Prix,VER,Red Bull Racing,2.0,2.0,1,25.0
262,2022,French_Grand_Prix,VET,Aston Martin,14.0,12.0,11,0.0
263,2022,French_Grand_Prix,ZHO,Alfa Romeo,18.0,16.0,16,0.0
264,2022,Hungarian_Grand_Prix,ALB,Williams,17.0,17.0,17,0.0
265,2022,Hungarian_Grand_Prix,ALO,Alpine,6.0,6.0,8,4.0
266,2022,Hungarian_Grand_Prix,BOT,Alfa Romeo,8.0,8.0,20,0.0
267,2022,Hungarian_Grand_Prix,DEV,,,,,
268,2022,Hungarian_Grand_Prix,GAS,AlphaTauri,19.0,0.0,12,0.0
269,2022,Hungarian_Grand_Prix,HAM,Mercedes,7.0,7.0,2,19.0
270,2022,Hungarian_Grand_Prix,HUL,,,,,
271,2022,Hungarian_Grand_Prix,LAT,Williams,20.0,19.0,18,0.0
272,2022,Hungarian_Grand_Prix,LEC,Ferrari,3.0,3.0,6,8.0
273,2022,Hungarian_Grand_Prix,MAG,Haas F1 Team,13.0,13.0,16,0.0
274,2022,Hungarian_Grand_Prix,MSC,Haas F1 Team,15.0,15.0,14,0.0
275,2022,Hungarian_Grand_Prix,NOR,McLaren,4.0,4.0,7,6.0
276,2022,Hungarian_Grand_Prix,OCO,Alpine,5.0,5.0,9,2.0
277,2022,Hungarian_Grand_Prix,PER,Red Bull Racing,11.0,11.0,5,10.0
